id,title,author,publisher,published_date,description,categories,language,page_count,average_rating,ratings_count,thumbnail,source
BjI4-qex0JgC,The History of the Science-fiction Magazine,"Michael Ashley, Mike Ashley",Liverpool University Press,2000-01-01,"This is the first of three volumes that chart the history of the science fiction magazine from the earliest days to the present. This first volume looks at the exuberant years of the pulp magazines. It traces the growth and development of the science fiction magazines from when Hugo Gernsback launched the very first, Amazing Stories, in 1926 through to the birth of the atomic age and the death of the pulps in the early 1950s. These were the days of the youth of science fiction, when it was brash, raw and exciting: the days of the first great space operas by Edward Elmer Smith and Edmond Hamilton, through the cosmic thought variants by Murray Leinster, Jack Williamson and others to the early 1940s when John W. Campbell at Astounding did his best to nurture the infant genre into adulthood. Under him such major names as Robert A. Heinlein, Isaac Asimov, A. E. van Vogt and Theodore Sturgeon emerged who, along with other such new talents as Ray Bradbury and Arthur C. Clarke, helped create modern science fiction. For over forty years magazines were at the heart of science fiction and this book considers how the magazines, and their publishers, editors and authors influenced the growth and perception of this fascinating genre.",Literary Criticism,en,316.0,5.0,1.0,http://books.google.com/books/content?id=BjI4-qex0JgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
tVnVkO8jdvsC,On Modern British Fiction,Zachary Leader,,2002,"In this volume, fourteen of today's very best novelists and critics join forces to create a landmark study of the last 50 years of British fiction. Essays by Martin Amis, Ian McEwan, Hilary Mantel, James Wood, Christopher Hitchens, Michael Wood, Elaine Showalter, and others range from modern historical fiction and nationality to ""lad lit"" and the comic tradition, from criticism and reviewing to the reception of British fiction in America. Among the many writers explored here are Angus Wilson, Angela Carter, Iris Murdoch, Penelope Fitzgerald, V. S. Pritchett, Naipaul, and Rushdie. Provocative and insightful, this is a must-read for anyone interested in modern fiction.",Literary Criticism,en,338.0,,,http://books.google.com/books/content?id=tVnVkO8jdvsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
EquizXeXb3kC,John Fowles's Fiction and the Poetics of Postmodernism,Mahmoud Salami,Associated University Presse,1992,"Salami presents, for instance, a critique of the self-conscious narrative of the diary form in The Collector, the intertextual relations of the multiplicity of voices, the problems of subjectivity, the reader's position, the politics of seduction, ideology, and history in The Magus and The French Lieutenant's Woman. The book also analyzes the ways in which Fowles uses and abuses the short-story genre, in which enigmas remain enigmatic and the author disappears to leave the characters free to construct their own texts. Salami centers, for example, on A Maggot, which embodies the postmodernist technique of dialogical narrative, the problem of narrativization of history, and the explicitly political critique of both past and present in terms of social and religious dissent. These political questions are also echoed in Fowles's nonfictional book The Aristos, in which he strongly rejects the totalization of narratives and the materialization of society.",Language Arts & Disciplines,en,312.0,,,http://books.google.com/books/content?id=EquizXeXb3kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
NYD5FSeERakC,Desire and Domestic Fiction,Nancy Armstrong,Oxford University Press,1987-05-07,"Desire and Domestic Fictionargues that far from being removed from historical events, novels by writers from Richardson to Woolf were themselves agents of the rise of the middle class. Drawing on texts that range from 18th-century female conduct books and contract theory to modern psychoanalytic case histories and theories of reading, Armstrong shows that the emergence of a particular form of female subjectivity capable of reigning over the household paved the way for the establishment of institutions which today are accepted centers of political power. Neither passive subjects nor embattled rebels, the middle-class women who were authors and subjects of the major tradition of British fiction were among the forgers of a new form of power that worked in, and through, their writing to replace prevailing notions of ""identity"" with a gender-determined subjectivity. She also examines the works of such novelists as Richardson, Jane Austen, and the Bront s to reveal the ways in which these authors rewrite the domestic practices and sexual relations of the past to create the historical context through which modern institutional power would seem not only natural but also humane, and therefore to be desired.",Language Arts & Disciplines,en,318.0,5.0,1.0,http://books.google.com/books/content?id=NYD5FSeERakC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
P8zW2AH6150C,Science Fiction and Fantasy Literature,"R. Reginald, Douglas Menville, Mary A. Burgess",Wildside Press LLC,2010-09-01,"Science Fiction and Fantasy Literature, A Checklist, 1700-1974, Volume one of Two, contains an Author Index, Title Index, Series Index, Awards Index, and the Ace and Belmont Doubles Index.",Reference,en,802.0,,,http://books.google.com/books/content?id=P8zW2AH6150C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
FVKztmcuUKQC,The Music in African American Fiction,Robert H. Cataliotti,Taylor & Francis,1995,"First Published in 1996. Routledge is an imprint of Taylor & Francis, an informa company.",History,en,272.0,,,http://books.google.com/books/content?id=FVKztmcuUKQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
NznwlEC5jVQC,Impossibility Fiction,"Derek Littlewood, Peter Stockwell",Rodopi,1996,"Impossibility fiction is an 'intergenre' that has recently been the resort of many writers searching for new ways of understanding and expressing the real world of the imagination, making use of fantasy, alternative history and science fiction. Coping with ideas that are both impossible and realistically constructed is the ultimate contemporary challenge of our technology. The chapters of this book move towards establishing appropriate readings that allow contemporary readers to negotiate unreality, a skill that the end of the millennium is making inevitably necessary. Such strategies have long been the preserve of literary and cultural study, and here a number of well-regarded scholars and some new to the field make their contribution to an area that has become increasingly important in recent years. From Mary Shelley to Philip K. Dick, Iain M. Banks to J.G. Ballard, taking in African-American science fiction, Jurassic Park, and Kurt Vonnegut, and exploring issues of alternative history and ideology, feminism, the holocaust, characterisation, and impossible geography, this collection is an important source-book for all those interested in the literature, culture and philosophy of realistic impossible worlds.",Literary Criticism,en,232.0,,,http://books.google.com/books/content?id=NznwlEC5jVQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
QLNwDwAAQBAJ,Narrative of Chinese and Western Popular Fiction,Yonglin Huang,Springer,2018-09-26,"This book presents a comprehensive and systematic study of the narrative history and narrative methods of Chinese and Western popular fiction from the perspectives of narratology, comparative literature, and art and literature studies by adopting the methodology of parallel comparison. The book is a pioneering work that systematically investigates the similarities and differences between Chinese and Western popular fiction, and traces the root causes leading to the differences. By means of narrative comparison, it explores the conceptual and spiritual correlations and differences between Chinese and Western popular fiction and, by relating them to the root causes of cultural spirit, allows us to gain an insight into the cultural heritage of different nations. The book is structured in line with a cause-and-effect logical sequence and moves from the macroscopic to the microscopic, from history to reality, and from theory to practice. The integration of macro-level theoretical studies and micro-level case studies is both novel and effective. This book was awarded Second Prize at the Sixth Outstanding Achievement Awards in Scientific Research for Chinese Institutions of Higher Learning (Humanities & Social Sciences, 2013).",Literary Criticism,en,228.0,,,http://books.google.com/books/content?id=QLNwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
B5ZADwAAQBAJ,Non-fiction,Илья Кормильцев,,2017,"В третий том собрания сочинений Ильи Кормильцева вошли интервью, данные им на протяжении 20 лет различным средствам массовой информации. Эти беседы позволяют узнать мнение поэта, публициста и философа Кормильцева по широчайшему спектру проблем: от чисто музыкальных до общественно-политических.",Biography & Autobiography,ru,645.0,,,http://books.google.com/books/content?id=B5ZADwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
NXmv0zXZBi4C,Science Fiction and Philosophy,Susan Schneider,John Wiley & Sons,2009-05-26,"A timely volume that uses science fiction as a springboard to meaningful philosophical discussions, especially at points of contact between science fiction and new scientific developments. Raises questions and examines timely themes concerning the nature of the mind, time travel, artificial intelligence, neural enhancement, free will, the nature of persons, transhumanism, virtual reality, and neuroethics Draws on a broad range of books, films and television series, including The Matrix, Star Trek, Blade Runner, Frankenstein, Brave New World, The Time Machine, and Back to the Future Considers the classic philosophical puzzles that appeal to the general reader, while also exploring new topics of interest to the more seasoned academic",Philosophy,en,361.0,4.0,2.0,http://books.google.com/books/content?id=NXmv0zXZBi4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
r-YVEAAAQBAJ,Вечная жизнь и другие миры. Non fiction,Артур Задикян,Litres,2020-11-10,"Мой уважаемый читатель, возможны ли миллиарды миров в необъятном космосе? Ведь внутри тебя живут миллиарды живых существ. Их существование наш разум доказал. Когда-то мы о них только догадывались, верили с сомнением. Теперь же, то же самое о далеких мирах. Те, что внутри нас, не знают о нас. Мы же не знаем о миллиардах возможных миров. Путь к ним открывает парадокс квантовой запутанности.Художественную интерпретацию текста можно найти в ранее опубликованных книгах цикла «Параллельные миры».",Education,ru,170.0,5.0,1.0,http://books.google.com/books/content?id=r-YVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
JDEDAAAAYAAJ,"Outing; sport, adventure, travel, fiction",,,1884,,Sports,en,502.0,,,http://books.google.com/books/content?id=JDEDAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
fbeBDwAAQBAJ,Non/fiction,Андрей Ангелов,Litres,2018-12-30,"Андрей Ангелов публикует отзывы читателей на своё творчество. Третья часть. Отзывы на авторский нон-фикшн, а именно: «Виды читателей», «Интервью с гением», «Фарсократия», «Интернет-особи» и «Азбука 18+». Отзывы + фото.",Psychology,ru,15.0,,,http://books.google.com/books/content?id=fbeBDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
dlvpA43l68YC,"Twentieth-century Poetry, Fiction, Theory","Harry Raphael Garvin, John D. Kirkland",Bucknell University Press,1977,"The issues addressed in this volume include the limits of language and the need for linguistic form, the significance of creating.",Literary Criticism,en,244.0,,,http://books.google.com/books/content?id=dlvpA43l68YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
Z3BDAAAAYAAJ,A Century of French Fiction,Benjamin Willis Wells,,1898,,French fiction,en,418.0,,,http://books.google.com/books/content?id=Z3BDAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
kvtCAQAAMAAJ,"Peoria Public Library List of English Fiction, French Fiction, and Juveniles","Peoria Public Library (Peoria, Ill.)",,1894,"A catalog of juvenile and fiction books held by the Peoria Public Library, in one alphabetical listing.",Children's literature,en,210.0,,,http://books.google.com/books/content?id=kvtCAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
37FYAAAAMAAJ,A Library of Famous Fiction,,,1873,,English fiction,en,1084.0,,,http://books.google.com/books/content?id=37FYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
wo1VDwAAQBAJ,f63.9 или Луганск 001. non-роман-fiction,Мирослав Палыч,ЛитРес,2018-04-12,"Любовный роман ностальгирует по времени «семидесятников». Повествует о непростых человеческих отношениях, о причинах неотвратимостей, что иногда случаются спутниками бескорыстных Чувств, не желающих быть разделенными.",Drama,ru,228.0,,,http://books.google.com/books/content?id=wo1VDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
yNEfpTpoNukC,Horror Fiction,Gina Wisker,A&C Black,2005-07-13,"This is a series of introductory books about different types of writing. One strand of the series focuses on genres such asScience Fiction, Horror, Romance, and Crime, and the other focuses on movements or styles often associated with historicaland cultural locations—Postcolonial, Native American, Scottish, Irish, American Gothic.Authors covered in this volume includeWilliam Peter Blatty, Ira Levine, BramStoker, Shirley Jackson, Angela Carter,Mary Shelley, Stephen King, Anne Rice,and Washington Irving.",Literary Criticism,en,308.0,,,http://books.google.com/books/content?id=yNEfpTpoNukC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
M71GAQAAMAAJ,ʻTruth is Stranger Than Fiction',Isaac W. Ambler,,1883,,United States,en,394.0,,,http://books.google.com/books/content?id=M71GAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
SAD5EAAAQBAJ,Всемирная библиотека. Non-Fiction. Избранное,Хорхе Луис Борхес,Азбука-Аттикус,2024-03-04,"Хорхе Луис Борхес — один из самых известных писателей ХХ века, во многом определивший облик современной литературы. Большую часть наследия великого аргентинца составляет нехудожественная проза: более тысячи страниц эссе, рецензий, очерков, предисловий, лекций, всевозможных заметок на самые разные темы. Эти произведения («интеллектуальные приключения», по словам автора) — не менее захватывающее чтение, чем художественная проза Борхеса. Подобно Алефу из его знаменитого рассказа — магической точки, из которой видно все, что происходит в мире, — тексты Борхеса стараются охватить всю вселенную: Данте и Шекспира, каббалу и буддизм, историю ангелов и историю танго, загадку времени и фашизм, обзор кинофильмов и биографию Сведенборга… В некотором смысле именно здесь проявляется истинный облик писателя, звучит его неповторимый, слегка ироничный голос книгочея и мудреца. В настоящее издание вошли тексты Борхеса, охватывающие всю творческую жизнь автора; читатель найдет здесь, помимо классических, широко известных произведений, немало рецензий, заметок, размышлений и эссе, никогда ранее не выходивших на русском языке. Тексты сопровождаются примечаниями и краткой биографией Борхеса.",Fiction,ru,977.0,,,http://books.google.com/books/content?id=SAD5EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
ZKQCAAAAQAAJ,"The hero of the desert; or, Facts more wonderful than fiction. [With cancel title-leaf, reading] Moses, the hero of the desert",James Spong,,1874,,,en,290.0,,,http://books.google.com/books/content?id=ZKQCAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
qFnLStWOh9AC,Indian English Fiction,"Gajendra Kumar, Uday Shankar Ojha",Sarup & Sons,2003,,Indic fiction,en,212.0,,,http://books.google.com/books/content?id=qFnLStWOh9AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
Of4jEAAAQBAJ,"Mystery, Crime and Detective Fiction. Context, Themes and Language Activities. Детективная литература. История жанра, рассказы в оригинале и упражнения",Светлана Кучина,Litres,2022-01-29,"Настоящее пособие представляет собой учебный комплекс по английскому языку обучающего и контрольно-тренировочного характера. Пособие содержит четыре раздела, включающие материалы по истории детективного жанра, оригинальные тексты на английском языке и учебные задания к ним, направленные на формирование и тренировку лексических, грамматических и синтаксических навыков. Текстовый материал и формы работы с ним ориентированы на специфику гуманитарных дисциплин. Пособие соответствует Федеральному государственному образовательному стандарту 3+ по направлению подготовки (45.03.02) Лингвистика, профиль: теория и методика преподавания иностранных языков и культур; перевод и переводоведение (квалификация «бакалавр»). Предназначено для преподавателей английского языка, студентов языковых специальностей вузов указанных направлений (уровни Intermediate, Upper-Intermediate), а также для всех, кто интересуется английской литературой.",Study Aids,ru,199.0,,,http://books.google.com/books/content?id=Of4jEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
FGJCAAAAYAAJ,Author and Title List of Fiction and Children's Stories,"Nahant Public Library, Nahant, Mass",,1895,,Fiction,en,168.0,,,http://books.google.com/books/content?id=FGJCAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
DS8CAAAAQAAJ,Altavona. Fact and Fiction from My Life in the Highlands,John Stuart Blackie,,1882,,,en,692.0,,,http://books.google.com/books/content?id=DS8CAAAAQAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
RTiREQAAQBAJ,Беспощадный учитель: педагогика non-fiction,Евгений Ямбург,"ЛитРес, Бослен",2025-10-21,"На всем протяжении человеческой истории школа всякий раз оказывалась на перекрестке открытых вопросов, не имеющих окончательных решений, в те переломные эпохи, когда происходили сдвиги, менявшие привычную устоявшуюся картину мира и образ жизни.Чему и как учить в новых условиях? Где найти силы, чтобы твердо стоять на своем, не искушаясь модными веяниями в образовании, сулящими быстрый успех? Как удержать руку на пульсе времени, не утеряв живой связи с молодым племенем и реальной жизнью?Кого из наших современников можно считать Учителем, противостоящим хаосу, абсурду и ценностной дезориентации? – вот неизбывные вопросы, затрагивающие ценности и смыслы культуры, а, следовательно, образования.Именно к таким вопросам в наш беспощадный век и должна обращаться педагогика non-fiction – опирающаяся на правду фактов, стремящаяся избавиться от иллюзий, для которой не существует табуированных тем.Прославленный педагог Евгений Ямбург пытается взглянуть на историю как на учителя, рассмотреть ее уроки, чтобы перестать вместе со страной оставаться на второй год. Сегодня, когда у граждан России нет единого взгляда ни на одну проблему, эта ослепительная по новизне и беспощадная по выводам книга способна промыть глаза и школьникам, и старикам.",Family & Relationships,ru,526.0,,,http://books.google.com/books/content?id=RTiREQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
HlWTGIGF-28C,The Reality - Fiction Opposition in Children's Literature,Adrian Zagler,GRIN Verlag,2011,"Bachelor Thesis from the year 2010 in the subject English Language and Literature Studies - Literature, grade: 1, University of Graz, language: English, abstract: Since the 1970s, scholarly interest in children's literature has grown, and numerous studies looking into the complexity and thematic and structural depth of the texts have been published. Simultaneously, the notion of metareferentiality has sparked interest among scholars from various disciplines. Metareferentiality, though not unique to the twentieth and the twenty-first centuries, is said to be one of the key cultural phenomena of our time. And yet, these two fields of interest, namely children's literature and metareferentiality, have only very rarely been studied in the same context. Metareferential elements in children's books are often seen as phenomena of dream worlds. Thus, they allow a traditional, non-critical reading in which the metareferential elements do not necessarily trigger medial awareness in the readers but can be explained logically and within the framework of the represented story worlds. Consequently, the epistemological status of reality would not be threatened by these texts. However, as this paper aims to prove, such a reading (for instance) of the Alice-stories, Die Unendliche Geschichte and The Book of Lost Things, although undeniably possible, falls short of the true scope of the texts. As will be shown, all four books address the question of the status of fiction with reference to its opposition to reality, albeit in different ways. In their treatment of the subject, they are clearly metafictional texts with epistemological and ontological concerns that require experienced readers to fully grasp their messages. Nevertheless, they are still publicly perceived as children's literature and are enjoyed by children and adults alike. After some general remarks on the genre of children's literature and on metareferentiality, this paper focuses on a particular form of metarefere",Language Arts & Disciplines,en,81.0,,,http://books.google.com/books/content?id=HlWTGIGF-28C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,google_books_api
